"Variable","Lasso_Beta","Ridge_Beta","Enet_Beta"
"SALVADEHYPOX-PWY",0,-6.00963245905934e-07,0
"SER-GLYSYN-PWY",0,2.9436042097645e-07,0
"SO4ASSIM-PWY",0,-4.39059989042199e-06,0
"SULFATE-CYS-PWY",0,-3.11521828843699e-06,0
"TCA",0,-1.75449194675326e-06,0
"TCA-GLYOX-BYPASS",0,5.41470461473175e-07,0
"TEICHOICACID-PWY",0,-9.29952245698473e-06,0
"THISYN-PWY",0,1.05321226626532e-06,0
"THREOCAT-PWY",0,-9.92438081118045e-05,0
"THRESYN-PWY",0,-2.52450702073026e-07,0
"TRNA-CHARGING-PWY",0,8.47834632850275e-08,0
"TRPSYN-PWY",0,1.2269882200055e-06,0
"UBISYN-PWY",0,-9.31720947267822e-07,0
"UDPNAGSYN-PWY",0,4.82248626157297e-07,0
"VALSYN-PWY",0,-9.19697787890817e-08,0
